city,state,timestamp,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_overall
Shivamogga,Karnataka,2025-05-19 10:00:00,26.0,2.0,37.0,1.0,46.0,33.0,4.0,46.0
Sikar,Rajasthan,2025-05-19 10:00:00,13.0,5.0,16.0,33.0,95.0,38.0,5.0,95.0
Silchar,Assam,2025-05-19 10:00:00,25.0,1.0,12.0,1.0,60.0,37.0,5.0,60.0
Siliguri,West_Bengal,2025-05-19 10:00:00,30.0,10.0,16.0,24.0,35.0,36.0,11.0,36.0
Singrauli,Madhya Pradesh,2025-05-19 10:00:00,14.0,6.0,3.0,52.0,71.0,38.0,23.0,71.0
Sirohi,Rajasthan,2025-05-19 10:00:00,20.0,4.0,9.0,16.0,62.0,32.0,2.0,62.0
Sivasagar,Assam,2025-05-19 10:00:00,19.0,4.0,22.0,3.0,25.0,23.0,9.0,25.0
Siwan,Bihar,2025-05-19 10:00:00,88.0,1.0,4.0,21.0,,,8.0,88.0
Solapur,Maharashtra,2025-05-19 10:00:00,23.0,6.0,44.0,38.0,61.0,34.5,16.5,61.0
Sri Ganganagar,Rajasthan,2025-05-19 10:00:00,23.0,6.0,34.0,29.0,152.0,55.0,11.0,152.0
Sri Vijaya Puram,Andaman and Nicobar,2025-05-19 10:00:00,20.0,,43.0,7.0,17.0,5.0,21.0,43.0
Suakati,Odisha,2025-05-19 10:00:00,15.0,4.0,12.0,81.0,46.0,39.0,3.0,81.0
Surat,Gujarat,2025-05-19 10:00:00,34.0,,13.0,,32.0,32.0,40.0,40.0
Talcher,Odisha,2025-05-19 10:00:00,35.0,6.0,28.0,2.0,40.0,37.0,30.0,40.0
Tensa,Odisha,2025-05-19 10:00:00,17.0,,,,54.0,,16.0,54.0
Thane,Maharashtra,2025-05-19 10:00:00,20.5,6.0,11.0,3.5,57.0,36.5,2.0,57.0
Thanjavur,TamilNadu,2025-05-19 10:00:00,7.0,1.0,41.0,8.0,23.0,,16.0,41.0
Thiruvananthapuram,Kerala,2025-05-19 10:00:00,15.0,1.5,8.5,24.0,37.0,25.5,12.5,37.0
Thoothukudi,TamilNadu,2025-05-19 10:00:00,29.0,,5.0,16.0,32.0,,9.0,32.0
Thrissur,Kerala,2025-05-19 10:00:00,17.0,,10.0,29.0,62.0,50.0,1.0,62.0
Tiruchirappalli,TamilNadu,2025-05-19 10:00:00,5.0,1.0,4.0,13.0,42.0,44.0,16.0,44.0
Tirumala,Andhra_Pradesh,2025-05-19 10:00:00,21.0,1.0,17.0,9.0,40.0,52.0,4.0,52.0
Tirunelveli,TamilNadu,2025-05-19 10:00:00,21.0,1.0,8.0,6.0,31.0,32.0,16.0,32.0
Tirupati,Andhra_Pradesh,2025-05-19 10:00:00,18.0,2.0,8.0,27.0,67.0,94.0,13.0,94.0
Tonk,Rajasthan,2025-05-19 10:00:00,32.0,7.0,21.0,27.0,94.0,74.0,3.0,94.0
Udaipur,Rajasthan,2025-05-19 10:00:00,29.0,7.0,35.0,17.0,81.0,57.0,3.0,81.0
Ulhasnagar,Maharashtra,2025-05-19 10:00:00,33.0,3.0,48.0,15.0,93.0,71.0,13.0,93.0
Vapi,Gujarat,2025-05-19 10:00:00,,10.0,14.0,2.0,57.0,26.0,36.0,57.0
Varanasi,Uttar_Pradesh,2025-05-19 10:00:00,10.0,1.3333333333333333,13.25,10.75,57.25,29.5,28.75,57.25
Vellore,TamilNadu,2025-05-19 10:00:00,16.0,,,24.0,,,,24.0
Vijayapura,Karnataka,2025-05-19 10:00:00,24.0,1.0,9.0,16.0,47.0,37.0,,47.0
Vijayawada,Andhra_Pradesh,2025-05-19 10:00:00,34.5,5.333333333333333,27.333333333333332,16.5,49.0,47.0,20.0,49.0
Virar,Maharashtra,2025-05-19 10:00:00,33.0,6.0,17.0,10.0,59.0,33.0,4.0,59.0
Visakhapatnam,Andhra_Pradesh,2025-05-19 10:00:00,13.0,3.0,15.0,18.0,36.0,23.0,9.0,36.0
Vrindavan,Uttar_Pradesh,2025-05-19 10:00:00,37.0,2.0,12.0,12.0,60.0,40.0,27.0,60.0
